timestamp,gpu_usage,gpu_memor,gpu_volts,gpu_tempr
2026-02-24T14:09:47.352203,frequency(0)=960006208,gpu=8M,volt=0.8825V,temp=53.2'C
2026-02-24T14:09:50.371559,frequency(0)=960009536,gpu=8M,volt=0.8825V,temp=54.3'C
2026-02-24T14:09:53.394204,frequency(0)=960009536,gpu=8M,volt=0.8825V,temp=54.9'C
2026-02-24T14:09:56.438162,frequency(0)=960012800,gpu=8M,volt=0.8825V,temp=55.4'C
2026-02-24T14:09:59.454199,frequency(0)=960016128,gpu=8M,volt=0.8825V,temp=53.2'C
2026-02-24T14:10:02.470234,frequency(0)=960009536,gpu=8M,volt=0.8825V,temp=56.0'C
2026-02-24T14:10:05.486297,frequency(0)=960012800,gpu=8M,volt=0.8825V,temp=55.4'C
2026-02-24T14:10:08.621320,frequency(0)=960009536,gpu=8M,volt=0.8825V,temp=55.4'C
2026-02-24T14:10:11.649588,frequency(0)=960012800,gpu=8M,volt=0.8825V,temp=58.2'C
2026-02-24T14:10:14.666380,frequency(0)=960009536,gpu=8M,volt=0.8825V,temp=54.3'C
2026-02-24T14:10:17.683081,frequency(0)=960009536,gpu=8M,volt=0.8825V,temp=55.4'C
2026-02-24T14:10:20.706268,frequency(0)=960012800,gpu=8M,volt=0.8825V,temp=57.1'C
2026-02-24T14:10:23.723352,frequency(0)=960012800,gpu=8M,volt=0.8825V,temp=56.5'C
2026-02-24T14:10:26.740087,frequency(0)=960009536,gpu=8M,volt=0.8825V,temp=56.0'C
2026-02-24T14:10:29.756831,frequency(0)=960012800,gpu=8M,volt=0.8825V,temp=56.0'C
2026-02-24T14:10:32.773588,frequency(0)=960009536,gpu=8M,volt=0.8825V,temp=56.0'C
2026-02-24T14:10:35.790279,frequency(0)=960012800,gpu=8M,volt=0.8825V,temp=57.1'C
2026-02-24T14:10:38.806936,frequency(0)=960012800,gpu=8M,volt=0.8825V,temp=56.5'C
2026-02-24T14:10:41.829154,frequency(0)=960006208,gpu=8M,volt=0.8825V,temp=58.2'C
2026-02-24T14:10:44.846528,frequency(0)=960012800,gpu=8M,volt=0.8825V,temp=57.1'C
2026-02-24T14:10:47.863351,frequency(0)=960012800,gpu=8M,volt=0.8825V,temp=57.1'C
2026-02-24T14:10:50.880097,frequency(0)=960012800,gpu=8M,volt=0.8825V,temp=56.0'C
2026-02-24T14:10:53.898622,frequency(0)=500004288,gpu=8M,volt=0.7500V,temp=56.5'C
2026-02-24T14:10:56.915608,frequency(0)=960012800,gpu=8M,volt=0.8825V,temp=56.5'C
2026-02-24T14:10:59.932341,frequency(0)=960012800,gpu=8M,volt=0.8825V,temp=57.1'C
2026-02-24T14:11:02.949134,frequency(0)=960012800,gpu=8M,volt=0.8825V,temp=57.6'C
2026-02-24T14:11:05.967694,frequency(0)=500004288,gpu=8M,volt=0.7500V,temp=56.0'C
2026-02-24T14:11:08.985188,frequency(0)=960012800,gpu=8M,volt=0.8825V,temp=57.1'C
2026-02-24T14:11:12.006390,frequency(0)=960016128,gpu=8M,volt=0.8825V,temp=58.7'C
2026-02-24T14:11:15.023372,frequency(0)=960006208,gpu=8M,volt=0.8825V,temp=57.6'C
2026-02-24T14:11:18.040072,frequency(0)=960009536,gpu=8M,volt=0.8825V,temp=57.1'C
2026-02-24T14:11:21.056736,frequency(0)=960006208,gpu=8M,volt=0.8825V,temp=56.5'C
2026-02-24T14:11:24.073437,frequency(0)=960009536,gpu=8M,volt=0.8825V,temp=56.5'C
2026-02-24T14:11:27.090207,frequency(0)=960012800,gpu=8M,volt=0.8825V,temp=56.0'C
2026-02-24T14:11:30.219517,frequency(0)=960012800,gpu=8M,volt=0.8825V,temp=57.1'C
2026-02-24T14:11:33.236345,frequency(0)=960012800,gpu=8M,volt=0.8825V,temp=58.2'C
2026-02-24T14:11:36.252983,frequency(0)=960009536,gpu=8M,volt=0.8825V,temp=56.5'C
