Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-04-11T14:17:45.481311,  0.0,05.1150,0.94624,04.8352
2026-04-11T14:17:46.455651,  1.0,05.1111,0.87041,04.4477
2026-04-11T14:17:47.472639,  2.0,05.1088,0.89790,04.5792
2026-04-11T14:17:48.488009,  3.0,05.1089,0.78585,04.0078
2026-04-11T14:17:49.460116,  4.0,05.1090,0.82910,04.2284
2026-04-11T14:17:50.480050,  5.0,05.1086,0.90275,04.6040
2026-04-11T14:17:51.452950,  6.0,05.1085,0.70458,03.5933
2026-04-11T14:17:52.471153,  7.0,05.1088,0.82007,04.1823
2026-04-11T14:17:53.487432,  8.0,05.1091,0.70237,03.5820
2026-04-11T14:17:54.461233,  9.0,05.1092,0.71044,03.6232
2026-04-11T14:17:55.479324, 10.0,05.1116,0.70591,03.6072
2026-04-11T14:17:56.452426, 11.0,05.1092,0.81598,04.1614
2026-04-11T14:17:57.472426, 12.0,05.1095,0.70194,03.5798
2026-04-11T14:17:58.489410, 13.0,05.1095,0.80229,04.0916
2026-04-11T14:17:59.463224, 14.0,05.1096,0.67974,03.4666
2026-04-11T14:18:00.482251, 15.0,05.1059,0.74325,03.7905
2026-04-11T14:18:01.453845, 16.0,05.1086,0.69934,03.5666
2026-04-11T14:18:02.470632, 17.0,05.1085,0.80313,04.0959
2026-04-11T14:18:03.488688, 18.0,05.1086,0.75374,03.8440
2026-04-11T14:18:04.462687, 19.0,05.1111,0.75074,03.8362
2026-04-11T14:18:05.478998, 20.0,05.1100,0.76632,03.9158
2026-04-11T14:18:06.496946, 21.0,05.1085,0.70290,03.5847
2026-04-11T14:18:07.468483, 22.0,05.1082,0.81489,04.1559
2026-04-11T14:18:08.487084, 23.0,05.1084,0.70416,03.5912
2026-04-11T14:18:09.461215, 24.0,05.1083,0.80177,04.0890
2026-04-11T14:18:10.478429, 25.0,05.1100,0.69968,03.5753
2026-04-11T14:18:11.494600, 26.0,05.1088,0.84045,04.2862
2026-04-11T14:18:12.464269, 27.0,05.1087,0.70921,03.6169
2026-04-11T14:18:13.478760, 28.0,05.1087,0.76600,03.9066
2026-04-11T14:18:14.493074, 29.0,05.1087,0.75423,03.8465
2026-04-11T14:18:15.463194, 30.0,05.1084,0.70288,03.5846
2026-04-11T14:18:16.479949, 31.0,05.1084,0.83124,04.2393
2026-04-11T14:18:17.498682, 32.0,05.1041,0.80210,04.0907
2026-04-11T14:18:18.470371, 33.0,05.1048,0.75010,03.8255
2026-04-11T14:18:19.487580, 34.0,05.1080,0.70108,03.5755
2026-04-11T14:18:20.458668, 35.0,05.1084,0.73961,03.7720
2026-04-11T14:18:21.475820, 36.0,05.1045,0.70119,03.5760
2026-04-11T14:18:22.492464, 37.0,05.1075,0.83127,04.2394
2026-04-11T14:18:23.464161, 38.0,05.1089,0.69945,03.5671
2026-04-11T14:18:24.478323, 39.0,05.1075,0.82747,04.2200
2026-04-11T14:18:25.494706, 40.0,05.1078,0.70565,03.5988
2026-04-11T14:18:26.466763, 41.0,05.1081,0.81507,04.1568
2026-04-11T14:18:27.481897, 42.0,05.1105,0.69966,03.5752
2026-04-11T14:18:28.496277, 43.0,05.1112,0.73913,03.7769
2026-04-11T14:18:29.467084, 44.0,05.1112,0.76615,03.9150
2026-04-11T14:18:30.486198, 45.0,05.1092,0.70522,03.5966
2026-04-11T14:18:31.456698, 46.0,05.1089,0.70034,03.5717
2026-04-11T14:18:32.471972, 47.0,05.1081,0.77637,03.9594
2026-04-11T14:18:33.487746, 48.0,05.1084,0.76868,03.9202
2026-04-11T14:18:34.459446, 49.0,05.1073,0.70518,03.5964
2026-04-11T14:18:35.475743, 50.0,05.1045,0.86086,04.3903
2026-04-11T14:18:36.490037, 51.0,05.1077,0.70158,03.5780
2026-04-11T14:18:37.502400, 52.0,05.1080,0.79090,04.0335
2026-04-11T14:18:38.471198, 53.0,05.1082,0.71585,03.6508
2026-04-11T14:18:39.484064, 54.0,05.1088,0.70093,03.5747
2026-04-11T14:18:40.498461, 55.0,05.1088,0.81695,04.1664
2026-04-11T14:18:41.465194, 56.0,05.1087,0.68003,03.4681
2026-04-11T14:18:42.479986, 57.0,05.1084,0.71581,03.6506
2026-04-11T14:18:43.493618, 58.0,05.1085,0.77114,03.9328
2026-04-11T14:18:44.463066, 59.0,05.1084,0.74273,03.7879
2026-04-11T14:18:45.479437, 60.0,05.1082,0.72489,03.6969
2026-04-11T14:18:46.495758, 61.0,05.1083,0.77156,03.9349
2026-04-11T14:18:47.464496, 62.0,05.1086,0.74910,03.8204
2026-04-11T14:18:48.480264, 63.0,05.1083,0.74041,03.7760
2026-04-11T14:18:49.496198, 64.0,05.1087,0.70353,03.5880
2026-04-11T14:18:50.464358, 65.0,05.1041,0.84087,04.2884
2026-04-11T14:18:51.479781, 66.0,05.1083,0.72347,03.6896
2026-04-11T14:18:52.494700, 67.0,05.1108,0.81255,04.1521
2026-04-11T14:18:53.462960, 68.0,05.1112,0.69928,03.5733
2026-04-11T14:18:54.477681, 69.0,05.1083,0.71561,03.6496
2026-04-11T14:18:55.490902, 70.0,05.1117,0.81570,04.1682
2026-04-11T14:18:56.504479, 71.0,05.0978,1.28341,06.5325
2026-04-11T14:18:57.476419, 72.0,05.1051,1.53619,07.8345
2026-04-11T14:18:58.496415, 73.0,05.0945,1.38300,07.0394
2026-04-11T14:18:59.466349, 74.0,05.1076,0.73359,03.7413
2026-04-11T14:19:00.481231, 75.0,05.1078,0.73366,03.7416
2026-04-11T14:19:01.497070, 76.0,05.1081,0.73316,03.7391
2026-04-11T14:19:02.466000, 77.0,05.1092,0.58771,02.9973
2026-04-11T14:19:03.481064, 78.0,05.1091,0.58769,02.9972
2026-04-11T14:19:04.496962, 79.0,05.1088,0.74131,03.7806
2026-04-11T14:19:05.468898, 80.0,05.1087,0.72574,03.7012
2026-04-11T14:19:06.484514, 81.0,05.1086,0.83978,04.2828
2026-04-11T14:19:07.501292, 82.0,05.1087,0.72379,03.6913
2026-04-11T14:19:08.471746, 83.0,05.1088,0.73660,03.7566
2026-04-11T14:19:09.486220, 84.0,05.1089,0.81369,04.1498
2026-04-11T14:19:10.504108, 85.0,05.1050,0.72881,03.7169
2026-04-11T14:19:11.477800, 86.0,05.1111,0.82688,04.2253
2026-04-11T14:19:12.493920, 87.0,05.1092,0.71319,03.6372
2026-04-11T14:19:13.467294, 88.0,05.1114,0.79362,04.0553
2026-04-11T14:19:14.484386, 89.0,05.1094,0.71983,03.6711
2026-04-11T14:19:15.500270, 90.0,05.1097,0.82757,04.2206
2026-04-11T14:19:16.470042, 91.0,05.1094,0.70676,03.6044
2026-04-11T14:19:17.485476, 92.0,05.1099,0.77069,03.9305
