Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-04-16T22:20:37.176609,  0.0,05.1091,0.58450,02.9809
2026-04-16T22:20:38.199087,  1.0,05.1089,0.58486,02.9827
2026-04-16T22:20:39.174546,  2.0,05.1086,0.94383,04.8135
2026-04-16T22:20:40.199348,  3.0,05.1081,0.93242,04.7553
2026-04-16T22:20:41.174907,  4.0,05.1076,1.00139,05.1070
2026-04-16T22:20:42.196015,  5.0,05.1078,1.02715,05.2384
2026-04-16T22:20:43.215404,  6.0,05.1089,0.91608,04.6720
2026-04-16T22:20:44.192226,  7.0,05.1092,0.93281,04.7573
2026-04-16T22:20:45.213985,  8.0,05.1094,0.94265,04.8075
2026-04-16T22:20:46.195713,  9.0,05.1086,0.94135,04.8008
2026-04-16T22:20:47.172924, 10.0,05.1100,1.09296,05.5850
2026-04-16T22:20:48.196194, 11.0,05.0961,1.10349,05.6167
2026-04-16T22:20:49.173962, 12.0,05.1108,1.09456,05.5932
2026-04-16T22:20:50.198174, 13.0,05.1044,1.13939,05.8108
2026-04-16T22:20:51.174611, 14.0,05.1101,1.08690,05.5540
2026-04-16T22:20:52.196859, 15.0,05.1133,1.15453,05.8996
2026-04-16T22:20:53.176292, 16.0,05.1083,0.74461,03.7975
2026-04-16T22:20:54.198684, 17.0,05.1078,1.06290,05.4207
2026-04-16T22:20:55.176331, 18.0,05.1053,1.36164,06.9443
2026-04-16T22:20:56.199854, 19.0,05.0966,1.25984,06.4125
2026-04-16T22:20:57.178776, 20.0,05.1211,1.12512,05.7606
2026-04-16T22:20:58.202705, 21.0,05.1106,1.17974,06.0284
2026-04-16T22:20:59.180341, 22.0,05.1047,1.07746,05.4950
2026-04-16T22:21:00.204752, 23.0,05.0961,1.31526,06.6946
2026-04-16T22:21:01.181334, 24.0,05.1053,0.94548,04.8219
2026-04-16T22:21:02.203502, 25.0,05.1079,0.75151,03.8327
2026-04-16T22:21:03.186331, 26.0,05.1082,1.02544,05.2297
2026-04-16T22:21:04.210029, 27.0,05.1080,0.97521,04.9735
2026-04-16T22:21:05.185163, 28.0,05.1089,1.05817,05.3966
2026-04-16T22:21:06.205842, 29.0,05.1100,0.99010,05.0594
2026-04-16T22:21:07.183387, 30.0,05.1086,1.05505,05.3807
2026-04-16T22:21:08.207434, 31.0,05.0942,1.83523,09.3413
2026-04-16T22:21:09.184083, 32.0,05.1039,1.29943,06.6270
2026-04-16T22:21:10.204755, 33.0,05.1083,0.77421,03.9484
2026-04-16T22:21:11.180711, 34.0,05.1145,1.16214,05.9385
2026-04-16T22:21:12.202993, 35.0,05.1064,1.11866,05.7051
2026-04-16T22:21:13.176899, 36.0,05.0966,1.19859,06.1008
2026-04-16T22:21:14.197405, 37.0,05.1133,1.08484,05.5435
2026-04-16T22:21:15.175765, 38.0,05.1122,1.09272,05.5837
2026-04-16T22:21:16.197209, 39.0,05.1062,1.11179,05.6701
2026-04-16T22:21:17.216396, 40.0,05.1076,1.22270,06.2357
2026-04-16T22:21:18.189669, 41.0,05.1108,0.77262,03.9480
2026-04-16T22:21:19.210692, 42.0,05.1187,1.22942,06.2823
2026-04-16T22:21:20.188503, 43.0,05.1053,1.28030,06.5295
2026-04-16T22:21:21.210158, 44.0,05.1180,1.22793,06.2747
2026-04-16T22:21:22.184065, 45.0,05.1117,1.07781,05.5076
2026-04-16T22:21:23.206113, 46.0,05.0958,1.10928,05.6462
2026-04-16T22:21:24.179400, 47.0,05.1116,1.25853,06.4310
2026-04-16T22:21:25.199511, 48.0,05.0961,1.58764,08.0810
2026-04-16T22:21:26.220912, 49.0,05.1087,1.32137,06.7389
2026-04-16T22:21:27.191993, 50.0,05.1084,0.77453,03.9501
2026-04-16T22:21:28.211493, 51.0,05.1028,1.00903,05.1460
2026-04-16T22:21:29.186465, 52.0,05.1117,1.01900,05.2070
2026-04-16T22:21:30.206412, 53.0,05.1123,1.13552,05.8025
2026-04-16T22:21:31.182766, 54.0,05.1087,1.17209,05.9776
2026-04-16T22:21:32.204792, 55.0,05.1050,1.09134,05.5658
2026-04-16T22:21:33.180415, 56.0,05.1119,1.10381,05.6404
2026-04-16T22:21:34.198158, 57.0,05.1008,1.28933,06.5755
2026-04-16T22:21:35.215381, 58.0,05.1091,0.77093,03.9317
2026-04-16T22:21:36.188703, 59.0,05.1083,1.37026,06.9883
2026-04-16T22:21:37.212167, 60.0,05.0998,1.04222,05.3048
2026-04-16T22:21:38.185161, 61.0,05.1061,1.05968,05.4043
2026-04-16T22:21:39.206106, 62.0,05.0983,1.02572,05.2209
2026-04-16T22:21:40.183476, 63.0,05.1147,1.14029,05.8268
2026-04-16T22:21:41.209708, 64.0,05.1041,1.05451,05.3780
2026-04-16T22:21:42.186291, 65.0,05.1131,1.23230,06.2970
2026-04-16T22:21:43.209278, 66.0,05.1064,1.04797,05.3446
2026-04-16T22:21:44.182343, 67.0,05.1085,0.88291,04.5028
2026-04-16T22:21:45.204238, 68.0,05.1133,1.01469,05.1850
2026-04-16T22:21:46.180446, 69.0,05.1141,1.26985,06.4889
2026-04-16T22:21:47.204380, 70.0,05.0962,1.30860,06.6607
2026-04-16T22:21:48.182033, 71.0,05.1094,1.10789,05.6502
2026-04-16T22:21:49.205888, 72.0,05.1151,1.02072,05.2158
2026-04-16T22:21:50.184689, 73.0,05.1081,1.44213,07.3548
2026-04-16T22:21:51.203258, 74.0,05.1033,1.26566,06.4548
2026-04-16T22:21:52.223408, 75.0,05.1082,0.77428,03.9488
2026-04-16T22:21:53.201975, 76.0,05.1072,1.06640,05.4386
2026-04-16T22:21:54.181068, 77.0,05.1078,1.02636,05.2344
2026-04-16T22:21:55.204298, 78.0,05.1066,1.10299,05.6252
2026-04-16T22:21:56.181669, 79.0,05.1105,1.15625,05.9084
2026-04-16T22:21:57.203694, 80.0,05.1108,1.06079,05.4206
2026-04-16T22:21:58.180783, 81.0,05.1074,1.09901,05.6049
2026-04-16T22:21:59.202797, 82.0,05.1119,1.22386,06.2539
2026-04-16T22:22:00.224890, 83.0,05.1133,0.77049,03.9372
2026-04-16T22:22:01.199878, 84.0,05.1134,1.24504,06.3621
2026-04-16T22:22:02.221389, 85.0,05.0955,1.01764,05.1797
2026-04-16T22:22:03.196368, 86.0,05.1122,1.12114,05.7290
2026-04-16T22:22:04.215432, 87.0,05.1108,1.16982,05.9777
2026-04-16T22:22:05.188012, 88.0,05.0936,1.07905,05.4923
2026-04-16T22:22:06.207293, 89.0,05.1139,1.06757,05.4552
2026-04-16T22:22:07.223531, 90.0,05.1033,1.20876,06.1646
2026-04-16T22:22:08.197887, 91.0,05.1184,0.93968,04.8017
