timestamp,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3
2026-04-17T14:49:05.349285,78.2,2.0,20.2,2.0
2026-04-17T14:49:06.370327,49.5,21.0,21.2,33.0
2026-04-17T14:49:07.538240,99.1,0.0,0.0,0.0
2026-04-17T14:49:08.539590,35.6,1.0,0.0,0.0
2026-04-17T14:49:09.540014,3.0,0.0,0.0,0.0
2026-04-17T14:49:10.541545,98.0,0.0,0.0,0.0
2026-04-17T14:49:11.542310,77.2,0.0,18.0,0.0
2026-04-17T14:49:12.568309,20.8,59.0,14.6,42.0
2026-04-17T14:49:13.600435,24.0,71.6,21.0,26.5
2026-04-17T14:49:14.602698,23.0,22.8,84.0,18.0
2026-04-17T14:49:15.603363,31.0,58.8,36.4,19.8
2026-04-17T14:49:16.606536,25.7,51.4,61.0,30.1
2026-04-17T14:49:17.607045,32.0,18.4,20.8,31.6
2026-04-17T14:49:18.607887,20.2,7.0,11.0,6.9
2026-04-17T14:49:19.609113,21.0,17.2,78.0,26.3
2026-04-17T14:49:20.610076,16.5,33.0,73.2,16.5
2026-04-17T14:49:21.610943,22.0,22.5,45.4,58.6
2026-04-17T14:49:22.612093,21.2,54.5,31.0,40.6
2026-04-17T14:49:23.613683,35.4,55.6,22.4,29.6
2026-04-17T14:49:24.614974,26.3,83.3,26.8,30.6
2026-04-17T14:49:25.615402,43.0,20.2,29.6,36.3
2026-04-17T14:49:26.616111,20.8,3.0,3.0,3.0
2026-04-17T14:49:27.617190,18.8,42.6,70.0,18.6
2026-04-17T14:49:28.619756,28.4,67.6,32.7,20.2
2026-04-17T14:49:29.622394,18.8,44.2,64.7,19.6
2026-04-17T14:49:30.624970,60.0,23.2,25.3,39.0
2026-04-17T14:49:31.626309,26.3,70.4,38.0,26.0
2026-04-17T14:49:32.627507,27.3,25.5,11.1,27.3
2026-04-17T14:49:33.630181,23.8,9.0,15.8,7.1
2026-04-17T14:49:34.631518,19.0,55.6,39.4,35.3
2026-04-17T14:49:35.633455,24.8,36.4,66.0,18.2
2026-04-17T14:49:36.637636,77.8,18.0,24.5,24.0
2026-04-17T14:49:37.640917,23.5,41.4,59.2,25.5
2026-04-17T14:49:38.643460,76.8,29.3,18.0,21.4
2026-04-17T14:49:39.644811,30.1,64.3,51.5,31.7
2026-04-17T14:49:40.645999,32.6,47.0,16.7,16.7
2026-04-17T14:49:41.647286,21.8,7.0,9.9,6.0
2026-04-17T14:49:42.650101,68.3,19.8,36.6,21.2
2026-04-17T14:49:43.653396,55.0,22.0,21.0,51.0
2026-04-17T14:49:44.655483,59.0,47.4,18.8,24.0
2026-04-17T14:49:45.657539,41.8,27.6,49.0,24.5
2026-04-17T14:49:46.660016,20.8,67.7,21.2,42.7
2026-04-17T14:49:47.662192,38.4,69.4,21.8,23.8
2026-04-17T14:49:48.664386,9.0,32.0,24.7,10.8
2026-04-17T14:49:49.666170,11.8,26.0,8.0,26.3
2026-04-17T14:49:50.668140,18.2,20.8,22.5,84.8
2026-04-17T14:49:51.670692,17.2,39.2,51.5,36.1
2026-04-17T14:49:52.673269,17.8,25.0,78.4,25.5
2026-04-17T14:49:53.674850,20.4,20.6,85.0,20.2
2026-04-17T14:49:54.677734,34.0,20.8,49.5,42.0
2026-04-17T14:49:55.681142,53.1,42.3,45.5,36.3
2026-04-17T14:49:56.682864,15.8,39.4,29.7,15.8
2026-04-17T14:49:57.684482,10.0,6.1,35.4,7.1
2026-04-17T14:49:58.686909,22.2,18.0,50.0,53.5
2026-04-17T14:49:59.690583,37.4,25.3,51.5,32.3
2026-04-17T14:50:00.693699,35.6,35.3,23.5,58.6
2026-04-17T14:50:01.696348,45.5,40.4,20.2,42.6
2026-04-17T14:50:02.698734,18.2,41.2,67.7,18.2
2026-04-17T14:50:03.700359,21.2,21.2,62.7,47.4
2026-04-17T14:50:04.702808,6.0,35.0,6.9,5.1
2026-04-17T14:50:05.704967,38.8,13.0,28.3,12.9
2026-04-17T14:50:06.710071,21.0,21.4,86.3,18.2
2026-04-17T14:50:07.713289,23.1,45.6,16.7,67.7
2026-04-17T14:50:08.715736,48.0,52.0,29.3,21.6
2026-04-17T14:50:09.720662,16.7,46.3,30.9,45.5
2026-04-17T14:50:10.722234,18.8,45.9,15.5,57.7
2026-04-17T14:50:11.725833,48.0,45.4,43.4,47.6
2026-04-17T14:50:12.727122,8.2,12.2,30.7,7.1
2026-04-17T14:50:13.729295,10.0,51.0,11.1,12.2
2026-04-17T14:50:14.731281,56.7,46.1,23.0,25.5
2026-04-17T14:50:15.734156,68.0,22.2,37.8,17.3
2026-04-17T14:50:16.736525,29.3,21.0,52.1,45.0
2026-04-17T14:50:17.738679,32.0,27.5,47.5,42.6
2026-04-17T14:50:18.741395,24.5,22.0,34.0,65.3
2026-04-17T14:50:19.746148,22.8,21.2,40.0,58.2
2026-04-17T14:50:20.747867,21.0,4.0,4.9,4.0
2026-04-17T14:50:21.749889,43.7,41.7,15.8,16.0
2026-04-17T14:50:22.753321,18.2,42.0,49.5,35.1
