Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-04-17T17:23:03.372126,  0.0,05.1099,0.76189,03.8856
2026-04-17T17:23:04.390572,  1.0,05.1045,0.86995,04.4367
2026-04-17T17:23:05.367513,  2.0,05.1097,0.79081,04.0331
2026-04-17T17:23:06.387981,  3.0,05.1093,0.87220,04.4482
2026-04-17T17:23:07.363427,  4.0,05.1089,0.79309,04.0447
2026-04-17T17:23:08.384924,  5.0,05.1089,0.79188,04.0385
2026-04-17T17:23:09.361315,  6.0,05.1067,0.91707,04.6770
2026-04-17T17:23:10.381522,  7.0,05.1087,0.89809,04.5802
2026-04-17T17:23:11.354995,  8.0,05.1098,0.85599,04.3655
2026-04-17T17:23:12.374257,  9.0,05.1087,0.89607,04.5699
2026-04-17T17:23:13.350285, 10.0,05.1082,0.87798,04.4776
2026-04-17T17:23:14.371297, 11.0,05.1082,0.93227,04.7545
2026-04-17T17:23:15.393014, 12.0,05.1105,1.16491,05.9526
2026-04-17T17:23:16.370021, 13.0,05.1091,0.92010,04.6925
2026-04-17T17:23:17.394672, 14.0,05.1086,0.93398,04.7632
2026-04-17T17:23:18.368952, 15.0,05.1084,0.83458,04.2563
2026-04-17T17:23:19.392579, 16.0,05.1059,0.96451,04.9190
2026-04-17T17:23:20.370151, 17.0,05.1083,0.94178,04.8030
2026-04-17T17:23:21.395629, 18.0,05.1137,1.27529,06.5167
2026-04-17T17:23:22.368816, 19.0,05.1041,0.96985,04.9462
2026-04-17T17:23:23.395238, 20.0,05.1064,1.04745,05.3419
2026-04-17T17:23:24.371708, 21.0,05.1134,1.07891,05.5132
2026-04-17T17:23:25.350920, 22.0,05.1101,0.96944,04.9538
2026-04-17T17:23:26.376182, 23.0,05.1101,1.26214,06.4495
2026-04-17T17:23:27.356168, 24.0,05.1076,0.96768,04.9351
2026-04-17T17:23:28.377581, 25.0,05.1076,0.74670,03.8081
2026-04-17T17:23:29.354856, 26.0,05.1076,0.73343,03.7404
2026-04-17T17:23:30.374282, 27.0,05.1100,0.59462,03.0385
2026-04-17T17:23:31.352007, 28.0,05.1061,1.11563,05.6897
2026-04-17T17:23:32.375843, 29.0,05.1050,1.05035,05.3567
2026-04-17T17:23:33.353150, 30.0,05.1030,0.99067,05.0524
2026-04-17T17:23:34.379046, 31.0,05.1098,1.09677,05.5935
2026-04-17T17:23:35.354186, 32.0,05.1075,1.07578,05.4864
2026-04-17T17:23:36.375976, 33.0,05.1148,1.22926,06.2815
2026-04-17T17:23:37.354697, 34.0,05.1094,0.74531,03.8010
2026-04-17T17:23:38.379854, 35.0,05.1090,0.74330,03.7908
2026-04-17T17:23:39.358995, 36.0,05.1092,0.74008,03.7744
