Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-04-17T17:39:56.343834,  0.0,05.1097,0.71063,03.6242
2026-04-17T17:39:57.315169,  1.0,05.1097,0.71011,03.6215
2026-04-17T17:39:58.331580,  2.0,05.1100,0.82029,04.1916
2026-04-17T17:39:59.347140,  3.0,05.1098,0.79178,04.0380
2026-04-17T17:40:00.317420,  4.0,05.1098,0.86316,04.4021
2026-04-17T17:40:01.334818,  5.0,05.1093,0.79171,04.0377
2026-04-17T17:40:02.308387,  6.0,05.1122,0.84921,04.3394
2026-04-17T17:40:03.326237,  7.0,05.1114,0.91013,04.6507
2026-04-17T17:40:04.344853,  8.0,05.1097,0.96716,04.9325
2026-04-17T17:40:05.319947,  9.0,05.1094,0.90153,04.5978
2026-04-17T17:40:06.338776, 10.0,05.1106,0.85414,04.3646
2026-04-17T17:40:07.311959, 11.0,05.1097,0.91530,04.6680
2026-04-17T17:40:08.334450, 12.0,05.1097,0.93241,04.7552
2026-04-17T17:40:09.308362, 13.0,05.1061,1.02103,05.2072
2026-04-17T17:40:10.332538, 14.0,05.1093,0.93611,04.7741
2026-04-17T17:40:11.306653, 15.0,05.1096,0.82528,04.2089
2026-04-17T17:40:12.324846, 16.0,05.1099,0.82192,04.1917
2026-04-17T17:40:13.343589, 17.0,05.1098,0.95490,04.8699
2026-04-17T17:40:14.315579, 18.0,05.1097,0.95903,04.8910
2026-04-17T17:40:15.335016, 19.0,05.1083,1.10125,05.6163
2026-04-17T17:40:16.306791, 20.0,05.1095,0.98624,05.0298
2026-04-17T17:40:17.324362, 21.0,05.1059,1.00065,05.1033
2026-04-17T17:40:18.344543, 22.0,05.1036,1.00243,05.1123
2026-04-17T17:40:19.316195, 23.0,05.1091,1.19832,06.1114
2026-04-17T17:40:20.335276, 24.0,05.1133,0.74318,03.7976
2026-04-17T17:40:21.308082, 25.0,05.1091,0.74255,03.7870
2026-04-17T17:40:22.330446, 26.0,05.1094,0.74160,03.7821
2026-04-17T17:40:23.349006, 27.0,05.1098,0.91529,04.6679
2026-04-17T17:40:24.323120, 28.0,05.1101,1.13718,05.8109
2026-04-17T17:40:25.341533, 29.0,05.1100,1.20105,06.1373
2026-04-17T17:40:26.313830, 30.0,05.1069,1.17603,05.9977
2026-04-17T17:40:27.333069, 31.0,05.1101,1.30592,06.6732
2026-04-17T17:40:28.354072, 32.0,05.1101,1.16445,05.9503
2026-04-17T17:40:29.329134, 33.0,05.1208,1.22623,06.2782
2026-04-17T17:40:30.348471, 34.0,05.1141,0.83072,04.2449
2026-04-17T17:40:31.323027, 35.0,05.1111,0.74592,03.8116
2026-04-17T17:40:32.342582, 36.0,05.1110,0.74449,03.8043
2026-04-17T17:40:33.316471, 37.0,05.1111,1.18460,06.0533
2026-04-17T17:40:34.336257, 38.0,05.1055,1.19116,06.0749
2026-04-17T17:40:35.354337, 39.0,05.1047,1.20546,06.1478
2026-04-17T17:40:36.327001, 40.0,05.1113,1.05425,05.3872
2026-04-17T17:40:37.344351, 41.0,05.0970,0.96868,04.9305
2026-04-17T17:40:38.319227, 42.0,05.1097,1.19901,06.1149
2026-04-17T17:40:39.341599, 43.0,05.1128,1.13839,05.8171
2026-04-17T17:40:40.314542, 44.0,05.1122,0.74491,03.8064
2026-04-17T17:40:41.334245, 45.0,05.1103,0.74358,03.7996
2026-04-17T17:40:42.351724, 46.0,05.1102,0.74214,03.7923
2026-04-17T17:40:43.323317, 47.0,05.1097,1.11781,05.7008
2026-04-17T17:40:44.339125, 48.0,05.1051,1.28560,06.5565
2026-04-17T17:40:45.314212, 49.0,05.1155,1.19900,06.1268
2026-04-17T17:40:46.333548, 50.0,05.1044,1.01595,05.1813
2026-04-17T17:40:47.353068, 51.0,05.1105,1.05428,05.3873
2026-04-17T17:40:48.324608, 52.0,05.1076,1.11165,05.6694
2026-04-17T17:40:49.340920, 53.0,05.1047,1.18053,06.0207
2026-04-17T17:40:50.311469, 54.0,05.1122,0.75339,03.8498
2026-04-17T17:40:51.328823, 55.0,05.1102,0.74386,03.8011
2026-04-17T17:40:52.345205, 56.0,05.1097,0.78448,04.0008
2026-04-17T17:40:53.319363, 57.0,05.1100,1.14347,05.8431
