timestamp,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3,cpu_core_4,cpu_core_5,cpu_core_6,cpu_core_7
2026-04-15T11:10:12.133385,34.7,36.4,27.6,25.3,40.2,20.4,12.9,9.0
2026-04-15T11:10:13.135348,27.6,29.3,21.2,18.2,29.6,11.1,3.0,1.0
2026-04-15T11:10:14.136202,48.5,39.8,33.0,36.0,28.6,14.0,10.0,5.0
2026-04-15T11:10:15.141359,30.6,24.0,18.2,15.0,36.5,34.7,18.4,11.0
2026-04-15T11:10:16.143144,31.6,28.9,22.2,17.2,39.8,16.2,8.0,4.0
2026-04-15T11:10:17.144445,29.9,25.3,21.4,15.3,33.7,8.0,3.0,2.0
2026-04-15T11:10:18.149099,22.0,19.2,14.0,14.1,16.5,23.2,3.9,0.0
2026-04-15T11:10:19.154399,31.6,29.6,24.5,20.2,33.3,6.0,1.0,1.0
2026-04-15T11:10:20.159606,36.1,32.3,28.3,21.2,38.8,12.1,4.0,2.0
2026-04-15T11:10:21.165172,25.0,21.0,17.0,14.0,20.2,24.2,5.0,3.0
2026-04-15T11:10:22.170587,30.6,23.5,20.2,12.0,32.7,9.1,2.0,0.0
2026-04-15T11:10:23.174573,32.7,29.6,23.5,20.2,45.8,23.0,17.0,13.9
2026-04-15T11:10:24.178095,27.3,26.5,19.0,18.2,20.2,7.0,3.0,0.0
2026-04-15T11:10:25.183653,28.6,26.3,22.0,19.2,31.2,25.3,11.0,5.0
2026-04-15T11:10:26.187952,33.0,29.6,22.4,18.0,33.7,2.0,0.0,0.0
2026-04-15T11:10:27.192908,28.6,25.3,21.2,16.0,29.9,8.9,4.0,1.0
2026-04-15T11:10:28.197468,26.0,22.2,17.2,18.2,26.3,32.7,11.1,10.9
2026-04-15T11:10:29.201386,27.1,19.4,14.1,14.1,45.4,27.3,21.0,15.2
2026-04-15T11:10:30.205608,32.0,27.6,23.2,16.0,35.1,4.0,2.0,1.0
2026-04-15T11:10:31.209426,22.8,19.0,13.1,12.1,16.2,22.2,3.0,3.0
2026-04-15T11:10:32.214276,28.9,27.6,20.2,15.0,33.7,7.0,2.0,1.0
2026-04-15T11:10:33.215091,33.0,27.6,21.4,16.2,34.7,6.1,2.0,1.0
2026-04-15T11:10:34.218715,25.3,20.2,17.0,12.1,25.3,10.1,4.0,4.0
2026-04-15T11:10:35.222708,26.3,25.5,19.2,15.0,30.2,21.2,5.0,1.0
2026-04-15T11:10:36.223344,32.7,31.6,24.5,19.2,39.2,12.2,5.1,5.0
2026-04-15T11:10:37.224921,28.9,25.5,19.2,14.3,39.8,20.0,12.1,9.0
2026-04-15T11:10:38.230118,38.8,35.4,29.3,28.3,50.5,61.6,42.0,34.3
2026-04-15T11:10:39.235459,37.4,32.7,28.6,23.0,35.1,8.1,3.0,2.0
2026-04-15T11:10:40.238790,32.0,28.6,24.0,15.0,34.0,5.0,1.0,2.0
2026-04-15T11:10:41.240477,24.0,25.0,17.2,15.2,16.2,21.0,3.0,3.0
2026-04-15T11:10:42.242790,29.9,24.7,21.2,18.2,34.0,8.1,1.0,0.0
2026-04-15T11:10:43.246385,30.6,27.3,19.2,13.1,33.3,3.0,0.0,0.0
2026-04-15T11:10:44.251880,27.3,26.3,15.2,16.2,24.2,9.0,4.0,2.0
2026-04-15T11:10:45.255953,25.5,22.4,18.2,16.0,42.7,31.3,19.2,14.0
2026-04-15T11:10:46.257597,33.7,31.6,23.7,16.3,34.0,3.0,0.0,0.0
2026-04-15T11:10:47.261801,26.8,26.5,22.0,15.0,30.9,6.0,2.9,2.0
2026-04-15T11:10:48.263811,21.0,18.0,15.0,9.1,17.3,22.4,2.0,1.0
2026-04-15T11:10:49.269277,32.7,28.9,22.4,17.2,34.0,4.0,0.0,1.0
2026-04-15T11:10:50.273757,26.5,21.4,19.2,15.2,29.9,18.0,6.9,1.0
2026-04-15T11:10:51.277790,36.7,31.6,30.0,25.3,22.0,9.0,4.0,4.0
2026-04-15T11:10:52.279165,24.7,23.5,17.3,14.0,31.3,28.6,7.1,4.0
2026-04-15T11:10:53.283029,30.6,26.3,20.4,15.2,34.0,4.0,1.0,1.0
2026-04-15T11:10:54.285536,30.3,28.6,19.0,14.1,31.3,4.0,2.0,1.0
2026-04-15T11:10:55.288236,22.2,17.2,14.1,13.0,21.2,27.3,7.1,5.0
2026-04-15T11:10:56.292173,35.1,31.6,28.3,23.2,40.2,13.0,9.9,9.0
2026-04-15T11:10:57.292699,40.2,34.0,28.6,24.2,34.4,4.0,1.0,1.0
2026-04-15T11:10:58.296325,31.3,29.3,24.2,19.2,21.2,15.2,4.0,2.0
2026-04-15T11:10:59.297636,26.8,26.5,20.6,15.2,29.2,16.2,2.0,1.0
