Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-04-11T12:04:38.366276,  0.0,05.1105,0.93046,04.7546
2026-04-11T12:04:39.383506,  1.0,05.1084,0.89353,04.5570
2026-04-11T12:04:40.354694,  2.0,05.1088,0.95285,04.8595
2026-04-11T12:04:41.369280,  3.0,05.1088,0.89930,04.5864
2026-04-11T12:04:42.387366,  4.0,05.1092,0.70712,03.6063
2026-04-11T12:04:43.359134,  5.0,05.1091,0.81572,04.1601
2026-04-11T12:04:44.373316,  6.0,05.1089,0.70092,03.5746
2026-04-11T12:04:45.386405,  7.0,05.1087,0.74953,03.8226
2026-04-11T12:04:46.354021,  8.0,05.1085,0.69608,03.5500
2026-04-11T12:04:47.369012,  9.0,05.1087,0.81264,04.1444
2026-04-11T12:04:48.382001, 10.0,05.1088,0.70195,03.5799
2026-04-11T12:04:49.349912, 11.0,05.1087,0.75596,03.8553
2026-04-11T12:04:50.362994, 12.0,05.1050,0.74584,03.8037
2026-04-11T12:04:51.380841, 13.0,05.1084,0.70092,03.5746
2026-04-11T12:04:52.352187, 14.0,05.1114,0.80903,04.1341
2026-04-11T12:04:53.370361, 15.0,05.1084,0.69822,03.5609
2026-04-11T12:04:54.390260, 16.0,05.1085,0.75437,03.8472
2026-04-11T12:04:55.361016, 17.0,05.1061,0.70004,03.5702
2026-04-11T12:04:56.378442, 18.0,05.1042,0.86117,04.3919
2026-04-11T12:04:57.348965, 19.0,05.1061,0.69909,03.5653
2026-04-11T12:04:58.363886, 20.0,05.1069,0.76595,03.9063
2026-04-11T12:04:59.379342, 21.0,05.1076,0.69845,03.5620
2026-04-11T12:05:00.347179, 22.0,05.1085,0.69898,03.5647
2026-04-11T12:05:01.362750, 23.0,05.1086,0.79772,04.0683
2026-04-11T12:05:02.380208, 24.0,05.1112,0.69873,03.5705
2026-04-11T12:05:03.349317, 25.0,05.1091,0.69816,03.5606
2026-04-11T12:05:04.366905, 26.0,05.1090,0.70543,03.5976
2026-04-11T12:05:05.383799, 27.0,05.1091,0.79712,04.0653
2026-04-11T12:05:06.354819, 28.0,05.1114,0.70087,03.5814
2026-04-11T12:05:07.371027, 29.0,05.1083,0.81188,04.1405
2026-04-11T12:05:08.388693, 30.0,05.1093,0.70463,03.5936
2026-04-11T12:05:09.360633, 31.0,05.1091,0.71258,03.6341
2026-04-11T12:05:10.380172, 32.0,05.1089,0.69643,03.5517
2026-04-11T12:05:11.349388, 33.0,05.1090,1.10028,05.6114
2026-04-11T12:05:12.368660, 34.0,05.1119,0.77204,03.9451
2026-04-11T12:05:13.389822, 35.0,05.1094,0.96235,04.9079
2026-04-11T12:05:14.361136, 36.0,05.1087,1.18811,06.0593
2026-04-11T12:05:15.379136, 37.0,05.1076,0.72990,03.7224
2026-04-11T12:05:16.351080, 38.0,05.1069,1.00265,05.1135
2026-04-11T12:05:17.366087, 39.0,05.1085,0.75223,03.8363
2026-04-11T12:05:18.385214, 40.0,05.1106,0.88939,04.5447
2026-04-11T12:05:19.359375, 41.0,05.1094,0.94873,04.8385
2026-04-11T12:05:20.378155, 42.0,05.0928,0.93844,04.7766
2026-04-11T12:05:21.348836, 43.0,05.1058,0.78466,04.0017
2026-04-11T12:05:22.365107, 44.0,05.1080,1.07700,05.4927
2026-04-11T12:05:23.382835, 45.0,05.1134,1.03343,05.2808
2026-04-11T12:05:24.353500, 46.0,05.1095,0.91526,04.6678
2026-04-11T12:05:25.369889, 47.0,05.1181,1.02899,05.2581
2026-04-11T12:05:26.387032, 48.0,05.1086,0.82459,04.2054
2026-04-11T12:05:27.360947, 49.0,05.1114,0.85104,04.3488
2026-04-11T12:05:28.376468, 50.0,05.1080,0.70392,03.5899
2026-04-11T12:05:29.391433, 51.0,05.1112,0.73308,03.7460
2026-04-11T12:05:30.363466, 52.0,05.1096,0.78278,03.9921
2026-04-11T12:05:31.377287, 53.0,05.1097,0.70631,03.6021
2026-04-11T12:05:32.392264, 54.0,05.1093,0.81885,04.1761
2026-04-11T12:05:33.363111, 55.0,05.1095,0.72920,03.7189
2026-04-11T12:05:34.379657, 56.0,05.1096,0.78164,03.9863
2026-04-11T12:05:35.349197, 57.0,05.1100,0.70401,03.5974
2026-04-11T12:05:36.364336, 58.0,05.1100,0.82049,04.1927
2026-04-11T12:05:37.380616, 59.0,05.1100,0.70248,03.5896
2026-04-11T12:05:38.393903, 60.0,05.1097,0.74048,03.7764
2026-04-11T12:05:39.366030, 61.0,05.1094,0.78144,03.9853
2026-04-11T12:05:40.384718, 62.0,05.1070,0.70353,03.5880
2026-04-11T12:05:41.355541, 63.0,05.1091,0.70157,03.5780
2026-04-11T12:05:42.374254, 64.0,05.1092,0.73917,03.7697
2026-04-11T12:05:43.389321, 65.0,05.1097,0.80557,04.1084
2026-04-11T12:05:44.361765, 66.0,05.1116,0.70245,03.5895
2026-04-11T12:05:45.376208, 67.0,05.1094,0.81467,04.1548
2026-04-11T12:05:46.394021, 68.0,05.1093,0.70006,03.5703
2026-04-11T12:05:47.362831, 69.0,05.1094,0.76639,03.9085
2026-04-11T12:05:48.379071, 70.0,05.1097,0.71028,03.6224
2026-04-11T12:05:49.351744, 71.0,05.1092,0.83258,04.2461
2026-04-11T12:05:50.367456, 72.0,05.1105,0.70107,03.5824
2026-04-11T12:05:51.382349, 73.0,05.1078,0.71999,03.6719
2026-04-11T12:05:52.353502, 74.0,05.1090,0.72068,03.6754
2026-04-11T12:05:53.368337, 75.0,05.1085,0.70244,03.5824
2026-04-11T12:05:54.384761, 76.0,05.1087,0.84241,04.2962
2026-04-11T12:05:55.356115, 77.0,05.1097,0.80163,04.0883
2026-04-11T12:05:56.373611, 78.0,05.1087,0.71433,03.6430
2026-04-11T12:05:57.387915, 79.0,05.1089,0.56999,02.9069
2026-04-11T12:05:58.358888, 80.0,05.1089,0.55660,02.8386
2026-04-11T12:05:59.373644, 81.0,05.1089,0.55778,02.8446
2026-04-11T12:06:00.385298, 82.0,05.1089,0.55833,02.8474
2026-04-11T12:06:01.355549, 83.0,05.1109,0.81220,04.1503
2026-04-11T12:06:02.367349, 84.0,05.1089,0.69823,03.5609
2026-04-11T12:06:03.382221, 85.0,05.1089,0.76681,03.9107
2026-04-11T12:06:04.397002, 86.0,05.1090,0.74433,03.7960
2026-04-11T12:06:05.369272, 87.0,05.1089,0.81713,04.1673
2026-04-11T12:06:06.388072, 88.0,05.1091,0.70360,03.5883
2026-04-11T12:06:07.360657, 89.0,05.1095,0.77001,03.9270
2026-04-11T12:06:08.380419, 90.0,05.1094,0.74014,03.7747
2026-04-11T12:06:09.353397, 91.0,05.1091,0.70225,03.5814
2026-04-11T12:06:10.371263, 92.0,05.1061,0.81329,04.1477
2026-04-11T12:06:11.388686, 93.0,05.1101,0.69941,03.5739
2026-04-11T12:06:12.360222, 94.0,05.1088,0.73624,03.7548
2026-04-11T12:06:13.376465, 95.0,05.1092,0.70096,03.5748
2026-04-11T12:06:14.395133, 96.0,05.1093,0.81616,04.1624
2026-04-11T12:06:15.366966, 97.0,05.1092,0.70163,03.5783
2026-04-11T12:06:16.384636, 98.0,05.1091,0.75106,03.8304
2026-04-11T12:06:17.356647, 99.0,05.1093,0.72560,03.7005
2026-04-11T12:06:18.375456,100.0,05.1093,0.70061,03.5731
2026-04-11T12:06:19.394196,101.0,05.1070,0.70345,03.5875
2026-04-11T12:06:20.365850,102.0,05.1122,0.74989,03.8319
2026-04-11T12:06:21.383758,103.0,05.1088,0.71472,03.6450
2026-04-11T12:06:22.356670,104.0,05.1085,0.70645,03.6028
2026-04-11T12:06:23.375717,105.0,05.1086,0.81193,04.1408
2026-04-11T12:06:24.397643,106.0,05.1114,0.70376,03.5962
2026-04-11T12:06:25.368917,107.0,05.1088,0.75233,03.8368
2026-04-11T12:06:26.384523,108.0,05.1090,0.69900,03.5649
2026-04-11T12:06:27.354892,109.0,05.1096,0.82124,04.1883
2026-04-11T12:06:28.370444,110.0,05.1098,0.70294,03.5849
2026-04-11T12:06:29.385830,111.0,05.1095,0.75122,03.8312
2026-04-11T12:06:30.355220,112.0,05.1167,1.09938,05.6178
2026-04-11T12:06:31.374191,113.0,05.1028,1.10998,05.6608
2026-04-11T12:06:32.391832,114.0,05.1092,0.72561,03.7006
2026-04-11T12:06:33.364404,115.0,05.1104,1.03602,05.2940
2026-04-11T12:06:34.383588,116.0,05.1136,0.88490,04.5218
2026-04-11T12:06:35.358676,117.0,05.1123,0.84380,04.3118
2026-04-11T12:06:36.375678,118.0,05.1019,1.04192,05.3137
2026-04-11T12:06:37.391668,119.0,05.1105,0.71586,03.6580
2026-04-11T12:06:38.362968,120.0,05.1083,0.81495,04.1562
2026-04-11T12:06:39.383096,121.0,05.1097,0.99838,05.0917
2026-04-11T12:06:40.356348,122.0,05.1092,0.70928,03.6173
2026-04-11T12:06:41.376686,123.0,05.1095,1.02834,05.2445
2026-04-11T12:06:42.393412,124.0,05.1126,0.96097,04.9105
2026-04-11T12:06:43.364957,125.0,05.1051,0.80549,04.1079
2026-04-11T12:06:44.384287,126.0,05.1116,0.88642,04.5296
2026-04-11T12:06:45.357941,127.0,05.1178,1.07996,05.5185
2026-04-11T12:06:46.376024,128.0,05.1096,0.93288,04.7576
2026-04-11T12:06:47.393372,129.0,05.1097,0.70921,03.6169
2026-04-11T12:06:48.363332,130.0,05.1098,0.70997,03.6208
2026-04-11T12:06:49.381379,131.0,05.1050,0.75907,03.8712
2026-04-11T12:06:50.397890,132.0,05.1067,0.77967,03.9763
2026-04-11T12:06:51.369405,133.0,05.1096,0.71519,03.6474
2026-04-11T12:06:52.385610,134.0,05.1092,0.82011,04.1825
2026-04-11T12:06:53.357643,135.0,05.1086,0.70706,03.6060
2026-04-11T12:06:54.376569,136.0,05.1092,0.74419,03.7953
2026-04-11T12:06:55.396822,137.0,05.1089,0.76999,03.9269
2026-04-11T12:06:56.367835,138.0,05.1088,0.82062,04.1851
2026-04-11T12:06:57.385896,139.0,05.1095,0.70560,03.5985
2026-04-11T12:06:58.357861,140.0,05.1088,0.74524,03.8007
2026-04-11T12:06:59.376502,141.0,05.1089,0.76930,03.9234
2026-04-11T12:07:00.396184,142.0,05.1094,0.70821,03.6118
2026-04-11T12:07:01.369397,143.0,05.1092,0.82029,04.1834
2026-04-11T12:07:02.387048,144.0,05.1116,0.70446,03.5997
2026-04-11T12:07:03.359249,145.0,05.1116,0.74742,03.8193
2026-04-11T12:07:04.380017,146.0,05.1090,0.70431,03.5919
2026-04-11T12:07:05.400376,147.0,05.1088,0.81604,04.1618
2026-04-11T12:07:06.371688,148.0,05.1087,0.70505,03.5957
2026-04-11T12:07:07.390177,149.0,05.1086,0.71520,03.6475
2026-04-11T12:07:08.359994,150.0,05.1089,0.72209,03.6826
2026-04-11T12:07:09.375693,151.0,05.1088,0.70615,03.6013
2026-04-11T12:07:10.392594,152.0,05.1088,0.81623,04.1627
2026-04-11T12:07:11.361802,153.0,05.1087,0.71568,03.6499
2026-04-11T12:07:12.377687,154.0,05.1082,0.79121,04.0351
2026-04-11T12:07:13.395261,155.0,05.1080,0.70497,03.5953
2026-04-11T12:07:14.366707,156.0,05.1080,0.70700,03.6057
2026-04-11T12:07:15.382095,157.0,05.1079,0.70565,03.5988
2026-04-11T12:07:16.397315,158.0,05.1080,0.70348,03.5877
2026-04-11T12:07:17.367270,159.0,05.1081,0.70186,03.5794
2026-04-11T12:07:18.380386,160.0,05.1086,0.70205,03.5804
2026-04-11T12:07:19.394445,161.0,05.1086,0.66500,03.3915
2026-04-11T12:07:20.362998,162.0,05.1088,0.70316,03.5861
2026-04-11T12:07:21.377945,163.0,05.1086,0.82015,04.1827
2026-04-11T12:07:22.395483,164.0,05.1085,0.70413,03.5910
2026-04-11T12:07:23.364710,165.0,05.1084,0.73101,03.7281
2026-04-11T12:07:24.380176,166.0,05.1083,0.71700,03.6567
