timestamp,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3
2026-04-16T20:57:55.290929,4.0,96.9,5.0,4.0
2026-04-16T20:57:56.316798,10.1,22.8,40.0,53.0
2026-04-16T20:57:57.472876,0.0,0.0,0.0,99.0
2026-04-16T20:57:58.477867,1.0,0.0,1.0,100.0
2026-04-16T20:57:59.480089,0.0,0.0,0.0,100.0
2026-04-16T20:58:00.482777,18.8,56.1,16.0,50.5
2026-04-16T20:58:01.484933,30.3,40.4,29.9,47.5
2026-04-16T20:58:02.486946,19.2,68.4,41.0,20.4
2026-04-16T20:58:03.489088,26.5,49.0,49.5,24.0
2026-04-16T20:58:04.491633,21.0,46.1,63.6,22.5
2026-04-16T20:58:05.494402,23.7,44.6,16.7,61.2
2026-04-16T20:58:06.495166,19.8,74.5,21.8,30.9
2026-04-16T20:58:07.495933,53.5,30.9,40.2,22.4
2026-04-16T20:58:08.497327,17.2,89.0,18.6,16.3
2026-04-16T20:58:09.499046,18.4,51.5,28.9,45.5
2026-04-16T20:58:10.499715,20.4,23.5,23.5,15.2
2026-04-16T20:58:11.500032,0.0,0.0,0.0,0.0
2026-04-16T20:58:12.500419,0.0,0.0,0.0,0.0
2026-04-16T20:58:13.502032,28.7,13.3,9.9,9.9
2026-04-16T20:58:14.503379,28.0,72.9,25.3,25.3
2026-04-16T20:58:15.504448,69.0,17.3,40.8,16.5
2026-04-16T20:58:16.505973,22.4,18.4,79.4,26.3
2026-04-16T20:58:17.507610,21.8,26.0,28.0,74.7
2026-04-16T20:58:18.510378,44.6,40.6,25.5,46.2
2026-04-16T20:58:19.515111,44.3,75.8,36.0,20.8
2026-04-16T20:58:20.520866,54.1,57.0,39.4,39.6
2026-04-16T20:58:21.523831,22.0,39.8,29.9,54.9
2026-04-16T20:58:22.525674,19.6,62.6,50.5,18.8
2026-04-16T20:58:23.528386,25.3,41.0,63.6,19.0
2026-04-16T20:58:24.530342,2.0,12.0,2.0,3.0
2026-04-16T20:58:25.531433,0.0,0.0,0.0,0.0
2026-04-16T20:58:26.532531,1.0,0.0,0.0,0.0
2026-04-16T20:58:27.534626,18.2,32.0,16.0,62.4
2026-04-16T20:58:28.542122,20.6,19.8,56.0,55.0
2026-04-16T20:58:29.559943,22.0,52.1,55.4,24.8
2026-04-16T20:58:30.561488,22.2,64.9,20.0,42.4
2026-04-16T20:58:31.565049,22.8,53.5,22.5,51.0
2026-04-16T20:58:32.567813,39.2,20.0,46.9,41.6
2026-04-16T20:58:33.570217,68.7,19.8,24.5,37.6
2026-04-16T20:58:34.571813,32.0,18.2,78.7,18.0
2026-04-16T20:58:35.575403,29.9,48.5,19.8,48.5
2026-04-16T20:58:36.578795,84.8,22.5,19.8,22.4
2026-04-16T20:58:37.580383,13.7,42.9,13.9,10.8
2026-04-16T20:58:38.581527,0.0,0.0,0.0,0.0
2026-04-16T20:58:39.582846,0.0,0.0,0.0,0.0
2026-04-16T20:58:40.587819,10.0,40.0,8.0,8.0
2026-04-16T20:58:41.589241,29.3,79.8,23.2,21.2
2026-04-16T20:58:42.591487,19.0,21.2,21.0,86.0
2026-04-16T20:58:43.594100,21.0,35.4,41.6,53.1
2026-04-16T20:58:44.596190,47.5,44.8,39.2,18.0
2026-04-16T20:58:45.597835,19.2,53.0,44.8,23.7
2026-04-16T20:58:46.601010,26.5,55.6,21.0,46.5
2026-04-16T20:58:47.603481,19.0,48.0,17.2,61.9
2026-04-16T20:58:48.605723,29.0,36.4,17.8,60.2
2026-04-16T20:58:49.628585,35.0,23.8,71.0,20.0
2026-04-16T20:58:50.631197,18.8,72.7,32.7,19.0
2026-04-16T20:58:51.632323,0.0,0.0,0.0,1.0
2026-04-16T20:58:52.633399,0.0,0.0,0.0,0.0
2026-04-16T20:58:53.649706,0.0,5.9,0.0,0.0
2026-04-16T20:58:54.671886,50.0,61.4,24.5,25.3
2026-04-16T20:58:55.673246,46.9,43.0,37.4,18.0
2026-04-16T20:58:56.674922,31.7,28.0,57.3,39.0
2026-04-16T20:58:57.677296,35.6,36.3,56.7,20.0
2026-04-16T20:58:58.679958,34.0,74.7,20.4,19.0
2026-04-16T20:58:59.682328,25.7,40.2,66.7,20.4
2026-04-16T20:59:00.686337,37.8,63.5,27.5,19.8
2026-04-16T20:59:01.692173,19.8,25.0,55.4,49.0
2026-04-16T20:59:02.695079,19.4,22.8,84.8,19.2
2026-04-16T20:59:03.698116,43.4,63.6,23.0,20.6
2026-04-16T20:59:04.700218,8.1,5.0,29.0,5.0
2026-04-16T20:59:05.701347,0.0,0.0,0.0,0.0
2026-04-16T20:59:06.702656,0.0,0.0,0.0,1.0
2026-04-16T20:59:07.706280,12.1,30.6,36.7,15.3
2026-04-16T20:59:08.709035,22.1,37.1,50.0,38.4
2026-04-16T20:59:09.712571,18.0,47.5,57.6,21.4
2026-04-16T20:59:10.734289,18.2,63.9,17.2,44.1
2026-04-16T20:59:11.776076,30.8,38.6,30.4,47.6
2026-04-16T20:59:12.787561,53.9,32.3,40.6,20.4
2026-04-16T20:59:13.790085,21.2,51.5,24.5,51.0
